,date,open,high,low,close,volume,change,vwap,changeOverTime
872,2017-08-08,69.8372,70.8447,69.5078,70.5153,22044587,0.377812,70.399,1.0870541924408796
873,2017-08-09,69.9922,70.2441,69.7984,70.2053,22213410,-0.310001,70.0794,1.077879065912925
874,2017-08-10,69.6531,69.9341,69.1203,69.1784,24734461,-1.0269,69.4974,1.0474857193595168
875,2017-08-11,69.3722,70.4281,69.0525,70.2344,21443675,1.0559,69.958,1.0787403439192589
876,2017-08-14,70.7769,71.4163,70.6703,71.2903,20096592,1.0559,71.2244,1.1099920087607662
877,2017-08-15,71.6702,71.6702,71.1345,71.3098,19181402,0.019505,71.3212,1.1105691538165563
878,2017-08-16,71.4267,72.1669,71.2611,71.7286,18150402,0.418781,71.6988,1.1229644537839998
879,2017-08-17,71.6604,71.9429,70.5112,70.5112,22977519,-1.2174,71.0056,1.086932843993252
880,2017-08-18,70.3846,70.9397,70.0535,70.5989,18761491,0.087653,70.543,1.0895285168851927
881,2017-08-21,70.5794,70.5891,69.8295,70.2677,17734767,-0.331131,70.1816,1.0797259300914557
882,2017-08-22,70.4625,71.3293,70.4625,71.2514,14343674,0.983651,71.1176,1.1088406783674196
883,2017-08-23,71.0566,71.2416,70.6378,70.8229,13766507,-0.428521,70.8961,1.096158285731199
884,2017-08-24,70.8423,70.9592,70.1898,70.7936,17098282,-0.029217,70.6808,1.0952910882883948
885,2017-08-25,70.9592,71.4364,70.5891,70.9203,12794301,0.126608,70.9785,1.0990410512919169
886,2017-08-28,71.154,71.1832,70.6573,70.93,14569715,0.00974,70.8686,1.0993281439606952
887,2017-08-29,70.3651,71.2514,70.1703,71.1443,11478382,0.21425999999999998,70.9566,1.1056708201379228
888,2017-08-30,71.1053,72.2739,70.9293,72.0792,16897801,0.934955,71.8187,1.1333412259152928
889,2017-08-31,72.0987,73.0044,71.8747,72.8194,27652811,0.740172,72.7278,1.1552490602894605
890,2017-09-01,72.7609,72.7902,71.7189,72.01100000000001,21736161,-0.808345,72.0845,1.1313226980791429
891,2017-09-05,71.4267,71.9623,71.0761,71.6896,22242384,-0.32139,71.5863,1.1218101636724185
892,2017-09-06,71.8163,72.1084,71.4364,71.4851,16535785,-0.204522,71.6677,1.1157575398822033
893,2017-09-07,71.7578,72.6538,71.6799,72.4006,17471200,0.9154760000000001,72.3514,1.1428537603220172
894,2017-09-08,72.3909,72.498,71.9136,72.05,14703816,-0.350607,72.1717,1.1324769881907242
895,2017-09-11,72.3714,72.9898,72.3714,72.8096,17910383,0.75965,72.7597,1.154959007902448
896,2017-09-12,72.8096,73.2771,72.4298,72.7317,14394850,-0.077912,72.7152,1.15265338739752
897,2017-09-13,72.9752,73.2674,72.6051,73.2479,13380802,0.516174,73.0647,1.1679314529256817
898,2017-09-14,73.0434,73.5206,72.5759,72.8194,15733914,-0.42852399999999996,73.0088,1.1552490602894605
